  r      Radial Df
0.50000  -0.06239
1.50000  0.18654
2.50000  0.10378
3.50000  0.08684
4.50000  0.07978
5.50000  0.07541
6.50000  0.07281
7.50000  0.07083
8.50000  0.06947
9.50000  0.06813
10.50000  0.06733
11.50000  0.06638
12.50000  0.06581
13.50000  0.06504
14.50000  0.06457
15.50000  0.06407
16.50000  0.06365
17.50000  0.06316
18.50000  0.06284
19.50000  0.06234
20.50000  0.06211
21.50000  0.06165
22.50000  0.06141
23.50000  0.06097
24.50000  0.06078
25.50000  0.05269
26.50000  0.04619
27.50000  0.04200
28.50000  0.03869
29.50000  0.03587
30.50000  0.03343
31.50000  0.03121
32.50000  0.02922
33.50000  0.02735
34.50000  0.02565
35.50000  0.02411
36.50000  0.02313
37.50000  0.02217
38.50000  0.02129
39.50000  0.02046
40.50000  0.01966
41.50000  0.01891
42.50000  0.01818
43.50000  0.01747
44.50000  0.01681
45.50000  0.01615
46.50000  0.01554
47.50000  0.01491
48.50000  0.01435
49.50000  0.01377
50.50000  0.01322
51.50000  0.01272
52.50000  0.01225
53.50000  0.01181
54.50000  0.01138
55.50000  0.01098
56.50000  0.01059
57.50000  0.01022
